ID,Pop,Drainage,Habitat ,Group,Tissue,Sex,Mass,H2S,Bin,mitoA,relative mitoA
60,3,2,1,4,2,0,0.37,0,0,0.253628724,0.782920585
59,3,2,1,4,2,0,0.34,0,0,0.428571429,1.322947136
55,3,2,1,4,2,0,0.36,7.2,1,0.236363636,0.729625388
58,3,2,1,4,2,0,0.43,7.4,1,0.219119227,0.676394025
57,3,2,1,4,2,0,0.3,17.4,1,0.247334755,0.763491879
49,3,2,1,4,2,0,0.49,26.4,2,0.346624804,1.069988013
50,3,2,1,4,2,0,0.33,27.4,2,0.32967033,1.017651643
48,3,2,1,4,2,0,0.46,46.8,3,0.288721805,0.891248597
45,3,2,1,4,2,0,0.53,59,3,0.352092352,1.086865659
46,3,2,1,4,2,0,0.54,87.4,3,0.25233076,0.77891393
47,3,2,1,4,2,0,0.68,87.8,3,0.5,1.543438323
5,0,1,0,1,3,0,0.93,0,0,0.210989011,0.909599255
8,0,1,0,1,3,0,0.7,0,0,0.2529274,1.090400745
13,0,1,0,1,3,0,1.99,15.6,1,0.133738602,0.576563359
3,0,1,0,1,3,0,1.55,22.3,2,0.237196765,1.022584066
12,0,1,0,1,3,0,0.57,27.8,2,0.902255639,3.889733657
2,0,1,0,1,3,0,0.78,31.3,2,0.262857143,1.133209073
7,0,1,0,1,3,0,0.91,36.6,2,0.80952381,3.489955478
11,0,1,0,1,3,0,0.64,43.6,2,1.306122449,5.630852533
14,0,1,0,1,3,0,0.86,43.8,2,0.396825397,1.710762489
4,0,1,0,1,3,0,1.12,54.13,3,0.741312741,3.195889274
1,0,1,0,1,3,0,0.87,66.27,3,0.571428571,2.463497981
6,0,1,0,1,3,0,1.35,72,3,0.49689441,2.14217216
23,1,1,1,2,3,1,0.28,0,0,0.12244898,0.441759625
19,1,1,1,2,3,1,0.36,0,0,0.433497537,1.56393062
20,1,1,1,2,3,0,0.31,0,0,0.275607386,0.994309756
24,1,1,1,2,3,0,0.78,11.6,1,0.120674357,0.435357311
27,1,1,1,2,3,0,0.61,13,1,0.228571429,0.824617965
21,1,1,1,2,3,0,0.48,15.4,1,0.928571429,3.350010477
25,1,1,1,2,3,0,0.34,16.6,1,0.19047619,0.687181634
26,1,1,1,2,3,1,0.24,19.8,1,0.178814383,0.645109291
22,1,1,1,2,3,0,0.34,20.8,2,0.098677846,0.356000419
16,1,1,1,2,3,0,0.49,36.6,2,0.3,1.082311077
15,1,1,1,2,3,0,0.6,49.8,3,0.330827068,1.193526
28,1,1,1,2,3,0,0.7,55.4,3,0.166023166,0.598962372
17,1,1,1,2,3,1,0.49,65.6,3,0.49466951,1.784620966
18,1,1,1,2,3,1,0.44,72.6,3,0.249240122,0.899184483
30,2,2,0,3,3,0,0.53,0,0,0.43537415,1.023839399
36,2,2,0,3,3,0,0.3,0,0,0.369747899,0.869510665
37,2,2,0,3,3,0,0.39,0,0,0.470588235,1.106649937
41,2,2,0,3,3,1,0.41,4.8,1,0.685714286,1.612547052
40,2,2,0,3,3,0,0.39,5.8,1,0.347129506,0.816320548
43,2,2,0,3,3,0,0.45,7.2,1,0.57989418,1.363697198
42,2,2,0,3,3,0,0.44,11.2,1,0.20722135,0.487308175
38,2,2,0,3,3,0,0.36,22,2,0.685714286,1.612547052
35,2,2,0,3,3,0,0.3,36,2,0.238095238,0.55991217
39,2,2,0,3,3,0,0.41,37,2,0.324455206,0.762998958
29,2,2,0,3,3,1,1.17,38,2,0.290398126,0.682909269
34,2,2,0,3,3,0,0.42,58.8,3,0.362732919,0.853014019
33,2,2,0,3,3,0,0.54,72.4,3,0.375,0.881861669
32,2,2,0,3,3,0,0.53,73,3,0.114285714,0.268757841
31,2,2,0,3,3,0,0.32,76.8,3,0.253164557,0.59534965
51,3,2,1,4,3,0,0.42,0,0,0.537815126,1.51524852
52,3,2,1,4,3,0,0.46,0,0,0.39408867,1.110311416
60,3,2,1,4,3,0,0.37,0,0,0.277310924,0.781300017
59,3,2,1,4,3,0,0.34,0,0,0.210526316,0.593140046
58,3,2,1,4,3,0,0.43,7.4,1,0.440816327,1.241962628
57,3,2,1,4,3,0,0.3,17.4,1,0.275996113,0.777595649
49,3,2,1,4,3,0,0.49,26.4,2,0.636118598,1.792210218
50,3,2,1,4,3,0,0.33,27.4,2,0.512820513,1.444828317
48,3,2,1,4,3,0,0.46,46.8,3,0.322580645,0.908843618
45,3,2,1,4,3,0,0.53,59,3,0.704318937,1.984358891
54,3,2,1,4,3,0,0.41,77,3,1.341614907,3.779886255
46,3,2,1,4,3,0,0.54,87.4,3,0.926640927,2.610732249
47,3,2,1,4,3,0,0.68,87.8,3,0.657142857,1.851444286
